accident_id,num_vehicles,num_casualties,accident_severity,accident_damages,police_department,police_attended,urban_vs_rural,road_type,road_conditions,weather_conditions,light_conditions,date,year,weekday,hour,longitude,latitude
200750C43O178,1,1,Slight,578,Devon and Cornwall,Yes,Rural,Single carriageway,Wet,Raining,Darkness,22/11/2007,2007,4-Thursday,17,-4.150652,50.95271
200642K000202,1,1,Slight,621,Essex,Yes,Rural,Single carriageway,Wet,Fine,Daylight,25/02/2006,2006,6-Saturday,7,0.272493,51.892724
200643P128076,1,1,Slight,225,Thames Valley,Yes,Rural,Single carriageway,Wet,Fine,Daylight,10/07/2006,2006,1-Monday,20,-0.990235,51.557416
201114K285611,2,1,Serious,6417,South Yorkshire,Yes,Urban,Single carriageway,Wet,Fine,Darkness,02/12/2011,2011,5-Friday,3,-1.489788,53.414076
200514D037105,1,1,Slight,563,South Yorkshire,Yes,Urban,Single carriageway,Dry,Fine,Daylight,11/03/2005,2005,5-Friday,15,-1.449279,53.405267
200632C016706,2,1,Slight,1416,Lincolnshire,No,Urban,Single carriageway,Dry,Fine,Darkness,30/03/2006,2006,4-Thursday,21,0.3427,53.142049
200842I118604,3+,2,Slight,547.5,Essex,Yes,Rural,Dual carriageway,Dry,Fine,Daylight,04/04/2008,2008,5-Friday,10,0.468816,51.876087
2014074277443,2,1,Slight,1075.5,Cheshire,No,Urban,Roundabout,Dry,Fine,Daylight,15/09/2014,2014,1-Monday,15,-2.538812,53.189127
20103102D1211,2,2,Slight,970,Nottinghamshire,Yes,Urban,Single carriageway,Dry,Fine,Daylight,16/04/2010,2010,5-Friday,15,-1.212017,52.925974
2005950001709,2,1,Slight,702,Lothian and Borders,Yes,Rural,Single carriageway,Ice,Snowing,Darkness,23/02/2005,2005,3-Wednesday,18,-3.443368,55.986734
2005930001672,1,1,Slight,907,Tayside,Yes,Urban,Single carriageway,Dry,Fine,Daylight,22/04/2005,2005,5-Friday,15,-2.986919,56.47283
200532D010305,3+,3+,Slight,346.5,Lincolnshire,Yes,Rural,Single carriageway,Dry,Fine,Daylight,26/01/2005,2005,3-Wednesday,10,-0.41443,53.139437
2008130163408,1,1,Serious,5269,West Yorkshire,No,Urban,Single carriageway,Dry,Fog,Darkness,19/02/2008,2008,2-Tuesday,17,-1.831179,53.637334
2007600WR1247,2,1,Slight,432,North Wales,Yes,Urban,Roundabout,Dry,Fine,Daylight,15/09/2007,2007,6-Saturday,18,-2.987929,53.0471
200801WW50676,3+,1,Slight,1550,Metropolitan Police,Yes,Urban,Single carriageway,Wet,Raining,Daylight,08/11/2008,2008,6-Saturday,14,-0.160556,51.422972
200601TD00217,2,2,Serious,12406,Metropolitan Police,Yes,Urban,Single carriageway,Dry,Fine,Darkness,25/08/2006,2006,5-Friday,23,0.048065,51.472391
2007620172187,2,1,Slight,76.5,South Wales,Yes,Rural,Dual carriageway,Dry,Fine,Daylight,27/09/2007,2007,4-Thursday,11,-3.108456,51.531347
200701RG40217,2,1,Slight,523.5,Metropolitan Police,Yes,Urban,Single carriageway,Dry,Fine,Daylight,26/03/2007,2007,1-Monday,12,0.087422,51.4797
201342I342611,3+,2,Slight,1412.5,Essex,Yes,Urban,Single carriageway,Wet,Fine,Darkness,04/11/2013,2013,1-Monday,17,0.45288,51.728124
201030C000320,2,1,Slight,1462.5,Derbyshire,Yes,Urban,Single carriageway,Dry,Fine,Daylight,04/06/2010,2010,5-Friday,7,-1.325992,53.019897
201001TW60276,1,1,Slight,489,Metropolitan Police,Yes,Urban,Dual carriageway,Dry,Fine,Darkness,03/09/2010,2010,5-Friday,21,-0.302479,51.462973
200942I225007,1,1,Slight,765,Essex,Yes,Rural,Single carriageway,Dry,Fine,Daylight,16/07/2009,2009,4-Thursday,12,0.513686,51.599042
2010130003106,2,1,Slight,708,West Yorkshire,Yes,Urban,Roundabout,Dry,Fine,Daylight,22/04/2010,2010,4-Thursday,12,-1.605736,53.825109
200930D000650,2,1,Slight,816,Derbyshire,Yes,Rural,Single carriageway,Dry,Fine,Darkness,22/08/2009,2009,6-Saturday,23,-1.563811,52.779007
200801PL73285,2,1,Slight,736.5,Metropolitan Police,Yes,Urban,Single carriageway,Dry,Fine,Darkness,03/06/2008,2008,2-Tuesday,23,-0.013199,51.457617
2005215437892,1,1,Slight,286,Staffordshire,Yes,Urban,Single carriageway,Dry,Fine,Darkness,25/11/2005,2005,5-Friday,16,-1.643002,52.812264
2011610007411,2,3+,Slight,220,Gwent,Yes,Rural,Single carriageway,Dry,Fine,Darkness,01/02/2011,2011,2-Tuesday,18,-3.218087,51.684742
2010100833310,2,1,Slight,46.5,Northumbria,Yes,Rural,Single carriageway,Ice,Fine,Daylight,29/12/2010,2010,3-Wednesday,10,-1.945223,55.135527
201332N472213,1,1,Slight,434,Lincolnshire,Yes,Rural,Single carriageway,Wet,Raining,Daylight,10/12/2013,2013,2-Tuesday,9,-0.477213,52.956444
201443P143024,3+,3+,Slight,2856,Thames Valley,Yes,Rural,Dual carriageway,Wet,Fine,Daylight,14/02/2014,2014,5-Friday,17,-1.260632,51.728905
2011331103069,1,1,Slight,116,Leicestershire,Yes,Urban,Dual carriageway,Dry,Fine,Darkness,04/06/2011,2011,6-Saturday,4,-1.186737,52.599378
200601KF60396,2,1,Slight,1431,Metropolitan Police,No,Urban,Single carriageway,Dry,Fine,Daylight,15/02/2006,2006,3-Wednesday,13,0.027337,51.550449
200901KF60764,2,1,Slight,1038,Metropolitan Police,Yes,Urban,Dual carriageway,Wet,Fine,Darkness,31/12/2009,2009,4-Thursday,23,-0.001168,51.538529
2010210004081,3+,1,Slight,1720,Staffordshire,Yes,Rural,Single carriageway,Dry,Fine,Daylight,25/06/2010,2010,5-Friday,8,-2.063012,52.805683
2010130310842,2,1,Slight,261,West Yorkshire,Yes,Urban,Single carriageway,Dry,Fine,Daylight,26/07/2010,2010,1-Monday,14,-1.651485,53.694291
2015051500603,2,2,Slight,1806,Merseyside,Yes,Urban,Dual carriageway,Dry,Fine,Daylight,26/02/2015,2015,4-Thursday,15,-2.837209,53.346702
201201KD50072,2,1,Slight,69,Metropolitan Police,No,Urban,Dual carriageway,Dry,Fine,Daylight,21/02/2012,2012,2-Tuesday,12,0.177563,51.575995
20151324G1091,1,1,Slight,979,West Yorkshire,Yes,Rural,Single carriageway,Dry,Fine,Daylight,16/04/2015,2015,4-Thursday,16,-1.720263,53.890218
200745EL09705,1,1,Slight,487,Surrey,Yes,Urban,Single carriageway,Dry,Fine,Daylight,02/08/2007,2007,4-Thursday,7,-0.390306,51.376714
201005FF01541,1,1,Slight,707,Merseyside,Yes,Urban,Single carriageway,Wet,Fog,Daylight,04/02/2010,2010,4-Thursday,16,-2.914515,53.383708
200720M068603,2,1,Slight,829.5,West Midlands,Yes,Urban,Roundabout,Dry,Fine,Daylight,03/12/2007,2007,1-Monday,9,-1.494539,52.436032
201001TX20542,3+,3+,Slight,1608,Metropolitan Police,Yes,Urban,Single carriageway,Dry,Fine,Daylight,21/08/2010,2010,6-Saturday,13,-0.389766,51.473916
2013520302470,2,1,Slight,339,Avon and Somerset,Yes,Rural,Single carriageway,Dry,Fine,Daylight,30/03/2013,2013,6-Saturday,11,-3.383077,51.159929
201131B176211,3+,1,Slight,1322,Nottinghamshire,Yes,Rural,Single carriageway,Dry,Fine,Daylight,15/08/2011,2011,1-Monday,8,-1.018829,53.121652
2008218008678,2,1,Slight,1080,Staffordshire,No,Rural,Single carriageway,Dry,Fine,Daylight,17/04/2008,2008,4-Thursday,17,-2.021815,52.888671
